"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1196000","N/A","87000"
"0 - Did not misuse in the past year","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","0.983","0.0038","0.973","0.989","1175000","N/A","86000"
"1 - Misused within the past year","HI","0","0","0","0","0.003","0.0006","0.002","0.004","0.017","0.0038","0.011","0.027","21000","N/A","5000"
"Overall","IA","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2710000","N/A","192000"
"0 - Did not misuse in the past year","IA","0.009","0.0006","0.008","0.01","0.009","0.0007","0.008","0.011","0.96","0.0082","0.94","0.973","2601000","N/A","181000"
"1 - Misused within the past year","IA","0","0.0001","0","0.001","0.013","0.003","0.008","0.02","0.04","0.0082","0.027","0.06","109000","N/A","25000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1662000","N/A","128000"
"0 - Did not misuse in the past year","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","0.966","0.0073","0.948","0.978","1605000","N/A","124000"
"1 - Misused within the past year","ID","0","0","0","0","0.007","0.0015","0.004","0.011","0.034","0.0073","0.022","0.052","57000","N/A","13000"
"Overall","IL","0.038","0.0017","0.034","0.041","0.038","0.0017","0.034","0.041","1","0","N/A","N/A","10747000","N/A","501000"
"0 - Did not misuse in the past year","IL","0.036","0.0017","0.033","0.04","0.037","0.0018","0.034","0.041","0.967","0.0045","0.957","0.975","10392000","N/A","492000"
"1 - Misused within the past year","IL","0.001","0.0002","0.001","0.002","0.043","0.0058","0.033","0.056","0.033","0.0045","0.025","0.043","355000","N/A","49000"
"Overall","IN","0.02","0.0013","0.018","0.023","0.02","0.0013","0.018","0.023","1","0","N/A","N/A","5777000","N/A","364000"
"0 - Did not misuse in the past year","IN","0.02","0.0012","0.017","0.022","0.02","0.0013","0.018","0.023","0.969","0.0052","0.957","0.978","5600000","N/A","350000"
"1 - Misused within the past year","IN","0.001","0.0001","0","0.001","0.021","0.004","0.015","0.031","0.031","0.0052","0.022","0.043","177000","N/A","34000"
"Overall","KS","0.009","0.0006","0.007","0.01","0.009","0.0006","0.007","0.01","1","0","N/A","N/A","2451000","N/A","166000"
"0 - Did not misuse in the past year","KS","0.008","0.0006","0.007","0.01","0.009","0.0006","0.007","0.01","0.974","0.0048","0.963","0.982","2387000","N/A","165000"
"1 - Misused within the past year","KS","0","0","0","0","0.008","0.0014","0.005","0.011","0.026","0.0048","0.018","0.037","64000","N/A","11000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3810000","N/A","210000"
"0 - Did not misuse in the past year","KY","0.013","0.0007","0.011","0.014","0.013","0.0008","0.012","0.015","0.957","0.0098","0.933","0.972","3645000","N/A","210000"
"1 - Misused within the past year","KY","0.001","0.0001","0","0.001","0.02","0.0044","0.013","0.031","0.043","0.0098","0.028","0.067","165000","N/A","37000"
"Overall","LA","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3798000","N/A","223000"
"0 - Did not misuse in the past year","LA","0.013","0.0007","0.011","0.014","0.013","0.0007","0.012","0.014","0.942","0.01","0.919","0.958","3577000","N/A","203000"
"1 - Misused within the past year","LA","0.001","0.0002","0.001","0.001","0.027","0.0051","0.018","0.039","0.058","0.01","0.042","0.081","222000","N/A","43000"
"Overall","MA","0.021","0.0021","0.018","0.026","0.021","0.0021","0.018","0.026","1","0","N/A","N/A","6141000","N/A","600000"
"0 - Did not misuse in the past year","MA","0.021","0.002","0.017","0.025","0.021","0.002","0.018","0.026","0.961","0.0096","0.937","0.976","5898000","N/A","578000"
"1 - Misused within the past year","MA","0.001","0.0002","0.001","0.001","0.029","0.0075","0.017","0.048","0.039","0.0096","0.024","0.063","242000","N/A","64000"
"Overall","MD","0.018","0.0012","0.016","0.021","0.018","0.0012","0.016","0.021","1","0","N/A","N/A","5250000","N/A","359000"
"0 - Did not misuse in the past year","MD","0.018","0.0012","0.016","0.02","0.019","0.0012","0.016","0.021","0.978","0.0049","0.966","0.986","5135000","N/A","346000"
"1 - Misused within the past year","MD","0","0.0001","0","0.001","0.014","0.0034","0.008","0.022","0.022","0.0049","0.014","0.034","115000","N/A","29000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1227000","N/A","117000"
"0 - Did not misuse in the past year","ME","0.004","0.0004","0.003","0.005","0.004","0.0004","0.004","0.005","0.976","0.0067","0.958","0.986","1197000","N/A","113000"
"1 - Misused within the past year","ME","0","0","0","0","0.004","0.0011","0.002","0.007","0.024","0.0067","0.014","0.042","30000","N/A","9000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8633000","N/A","384000"
"0 - Did not misuse in the past year","MI","0.029","0.0013","0.027","0.032","0.03","0.0014","0.028","0.033","0.974","0.0032","0.967","0.98","8411000","N/A","381000"
"1 - Misused within the past year","MI","0.001","0.0001","0.001","0.001","0.027","0.0033","0.021","0.034","0.026","0.0032","0.02","0.033","222000","N/A","28000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4870000","N/A","363000"
"0 - Did not misuse in the past year","MN","0.017","0.0012","0.014","0.019","0.017","0.0013","0.015","0.02","0.984","0.0039","0.974","0.99","4792000","N/A","357000"
"1 - Misused within the past year","MN","0","0.0001","0","0","0.009","0.0024","0.006","0.015","0.016","0.0039","0.01","0.026","77000","N/A","20000"
"Overall","MO","0.018","0.0011","0.016","0.021","0.018","0.0011","0.016","0.021","1","0","N/A","N/A","5241000","N/A","311000"
"0 - Did not misuse in the past year","MO","0.018","0.001","0.016","0.02","0.018","0.0011","0.016","0.021","0.969","0.0051","0.958","0.978","5081000","N/A","293000"
"1 - Misused within the past year","MO","0.001","0.0001","0","0.001","0.019","0.0037","0.013","0.028","0.031","0.0051","0.022","0.042","160000","N/A","31000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2450000","N/A","149000"
"0 - Did not misuse in the past year","MS","0.008","0.0005","0.007","0.009","0.009","0.0005","0.008","0.01","0.967","0.0063","0.952","0.977","2368000","N/A","141000"
"1 - Misused within the past year","MS","0","0.0001","0","0","0.01","0.0021","0.006","0.015","0.033","0.0063","0.023","0.048","81000","N/A","18000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","969000","N/A","81000"
"0 - Did not misuse in the past year","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","0.968","0.0074","0.95","0.98","938000","N/A","78000"
"1 - Misused within the past year","MT","0","0","0","0","0.004","0.001","0.002","0.006","0.032","0.0074","0.02","0.05","31000","N/A","8000"
"Overall","NC","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9223000","N/A","572000"
"0 - Did not misuse in the past year","NC","0.031","0.0019","0.028","0.035","0.032","0.002","0.028","0.036","0.968","0.0055","0.955","0.977","8926000","N/A","566000"
"1 - Misused within the past year","NC","0.001","0.0002","0.001","0.001","0.036","0.0059","0.026","0.049","0.032","0.0055","0.023","0.045","297000","N/A","50000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","649000","N/A","58000"
"0 - Did not misuse in the past year","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","0.981","0.0042","0.971","0.988","637000","N/A","57000"
"1 - Misused within the past year","ND","0","0","0","0","0.001","0.0003","0.001","0.002","0.019","0.0042","0.012","0.029","12000","N/A","3000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1651000","N/A","109000"
"0 - Did not misuse in the past year","NE","0.006","0.0004","0.005","0.006","0.006","0.0004","0.005","0.007","0.979","0.0046","0.967","0.986","1616000","N/A","108000"
"1 - Misused within the past year","NE","0","0","0","0","0.004","0.001","0.003","0.007","0.021","0.0046","0.014","0.033","35000","N/A","8000"
"Overall","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1232000","N/A","111000"
"0 - Did not misuse in the past year","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","0.972","0.0058","0.958","0.982","1198000","N/A","108000"
"1 - Misused within the past year","NH","0","0","0","0","0.004","0.0009","0.003","0.006","0.028","0.0058","0.018","0.042","34000","N/A","8000"
"Overall","NJ","0.028","0.0016","0.025","0.031","0.028","0.0016","0.025","0.031","1","0","N/A","N/A","8000000","N/A","473000"
"0 - Did not misuse in the past year","NJ","0.027","0.0016","0.024","0.031","0.028","0.0017","0.025","0.032","0.981","0.0037","0.973","0.987","7851000","N/A","471000"
"1 - Misused within the past year","NJ","0.001","0.0001","0","0.001","0.018","0.0035","0.012","0.026","0.019","0.0037","0.013","0.027","148000","N/A","29000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1806000","N/A","114000"
"0 - Did not misuse in the past year","NM","0.006","0.0004","0.005","0.007","0.006","0.0004","0.006","0.007","0.961","0.0087","0.94","0.975","1735000","N/A","110000"
"1 - Misused within the past year","NM","0","0.0001","0","0","0.009","0.002","0.005","0.013","0.039","0.0087","0.025","0.06","71000","N/A","17000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2754000","N/A","188000"
"0 - Did not misuse in the past year","NV","0.009","0.0006","0.008","0.011","0.01","0.0007","0.008","0.011","0.959","0.0078","0.941","0.972","2641000","N/A","182000"
"1 - Misused within the past year","NV","0","0.0001","0","0.001","0.014","0.0027","0.009","0.02","0.041","0.0078","0.028","0.059","113000","N/A","23000"
"Overall","NY","0.059","0.0023","0.055","0.064","0.059","0.0023","0.055","0.064","1","0","N/A","N/A","16932000","N/A","685000"
"0 - Did not misuse in the past year","NY","0.058","0.0023","0.054","0.063","0.06","0.0023","0.055","0.064","0.978","0.0031","0.971","0.983","16555000","N/A","666000"
"1 - Misused within the past year","NY","0.001","0.0002","0.001","0.002","0.045","0.0066","0.034","0.06","0.022","0.0031","0.017","0.029","378000","N/A","56000"
"Overall","OH","0.035","0.0014","0.032","0.038","0.035","0.0014","0.032","0.038","1","0","N/A","N/A","10008000","N/A","410000"
"0 - Did not misuse in the past year","OH","0.034","0.0014","0.031","0.037","0.035","0.0015","0.032","0.038","0.972","0.0041","0.962","0.979","9723000","N/A","401000"
"1 - Misused within the past year","OH","0.001","0.0002","0.001","0.001","0.034","0.0051","0.026","0.046","0.028","0.0041","0.021","0.038","285000","N/A","43000"
"Overall","OK","0.012","0.0009","0.01","0.014","0.012","0.0009","0.01","0.014","1","0","N/A","N/A","3368000","N/A","254000"
"0 - Did not misuse in the past year","OK","0.011","0.0009","0.01","0.013","0.012","0.0009","0.01","0.014","0.97","0.0066","0.954","0.98","3266000","N/A","248000"
"1 - Misused within the past year","OK","0","0.0001","0","0.001","0.012","0.0028","0.008","0.019","0.03","0.0066","0.02","0.046","103000","N/A","23000"
"Overall","OR","0.013","0.0007","0.012","0.014","0.013","0.0007","0.012","0.014","1","0","N/A","N/A","3686000","N/A","187000"
"0 - Did not misuse in the past year","OR","0.013","0.0006","0.011","0.014","0.013","0.0007","0.012","0.014","0.971","0.0075","0.952","0.983","3580000","N/A","183000"
"1 - Misused within the past year","OR","0","0.0001","0","0.001","0.013","0.0034","0.008","0.022","0.029","0.0075","0.017","0.048","107000","N/A","29000"
"Overall","PA","0.039","0.0021","0.035","0.043","0.039","0.0021","0.035","0.043","1","0","N/A","N/A","11153000","N/A","600000"
"0 - Did not misuse in the past year","PA","0.038","0.002","0.034","0.042","0.039","0.0021","0.035","0.043","0.971","0.0045","0.961","0.979","10833000","N/A","583000"
"1 - Misused within the past year","PA","0.001","0.0002","0.001","0.002","0.038","0.0063","0.028","0.053","0.029","0.0045","0.021","0.039","320000","N/A","54000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","957000","N/A","83000"
"0 - Did not misuse in the past year","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","0.963","0.011","0.934","0.98","922000","N/A","81000"
"1 - Misused within the past year","RI","0","0","0","0","0.004","0.0013","0.002","0.008","0.037","0.011","0.02","0.066","35000","N/A","11000"
"Overall","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","1","0","N/A","N/A","4599000","N/A","292000"
"0 - Did not misuse in the past year","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","0.974","0.0062","0.959","0.984","4480000","N/A","290000"
"1 - Misused within the past year","SC","0","0.0001","0","0.001","0.014","0.0034","0.009","0.023","0.026","0.0062","0.016","0.041","119000","N/A","28000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","759000","N/A","57000"
"0 - Did not misuse in the past year","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","0.965","0.0086","0.944","0.978","732000","N/A","54000"
"1 - Misused within the past year","SD","0","0","0","0","0.003","0.0008","0.002","0.005","0.035","0.0086","0.022","0.056","27000","N/A","7000"
"Overall","TN","0.021","0.0011","0.019","0.023","0.021","0.0011","0.019","0.023","1","0","N/A","N/A","6059000","N/A","317000"
"0 - Did not misuse in the past year","TN","0.02","0.0011","0.018","0.023","0.021","0.0011","0.019","0.023","0.964","0.0069","0.948","0.975","5841000","N/A","317000"
"1 - Misused within the past year","TN","0.001","0.0001","0.001","0.001","0.026","0.0049","0.018","0.038","0.036","0.0069","0.025","0.052","218000","N/A","41000"
"Overall","TX","0.089","0.0031","0.083","0.095","0.089","0.0031","0.083","0.095","1","0","N/A","N/A","25487000","N/A","939000"
"0 - Did not misuse in the past year","TX","0.086","0.003","0.081","0.092","0.089","0.0031","0.083","0.095","0.969","0.0033","0.961","0.974","24685000","N/A","910000"
"1 - Misused within the past year","TX","0.003","0.0003","0.002","0.003","0.096","0.0101","0.078","0.118","0.031","0.0033","0.026","0.039","801000","N/A","91000"
"Overall","UT","0.01","0.0006","0.009","0.011","0.01","0.0006","0.009","0.011","1","0","N/A","N/A","2844000","N/A","170000"
"0 - Did not misuse in the past year","UT","0.01","0.0006","0.009","0.011","0.01","0.0006","0.009","0.011","0.98","0.0035","0.972","0.986","2788000","N/A","169000"
"1 - Misused within the past year","UT","0","0","0","0","0.007","0.0012","0.005","0.009","0.02","0.0035","0.014","0.028","56000","N/A","10000"
"Overall","VA","0.026","0.0017","0.023","0.029","0.026","0.0017","0.023","0.029","1","0","N/A","N/A","7346000","N/A","500000"
"0 - Did not misuse in the past year","VA","0.025","0.0017","0.022","0.029","0.026","0.0018","0.023","0.03","0.984","0.0024","0.979","0.988","7230000","N/A","497000"
"1 - Misused within the past year","VA","0","0.0001","0","0.001","0.014","0.0022","0.01","0.019","0.016","0.0024","0.012","0.021","116000","N/A","18000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","571000","N/A","36000"
"0 - Did not misuse in the past year","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.982","0.0042","0.972","0.989","561000","N/A","36000"
"1 - Misused within the past year","VT","0","0","0","0","0.001","0.0003","0.001","0.002","0.018","0.0042","0.011","0.028","10000","N/A","2000"
"Overall","WA","0.023","0.0015","0.021","0.027","0.023","0.0015","0.021","0.027","1","0","N/A","N/A","6713000","N/A","450000"
"0 - Did not misuse in the past year","WA","0.023","0.0015","0.02","0.026","0.024","0.0015","0.021","0.027","0.977","0.0053","0.964","0.985","6555000","N/A","432000"
"1 - Misused within the past year","WA","0.001","0.0001","0","0.001","0.019","0.0047","0.012","0.031","0.023","0.0053","0.015","0.036","157000","N/A","39000"
"Overall","WI","0.018","0.0012","0.016","0.02","0.018","0.0012","0.016","0.02","1","0","N/A","N/A","5086000","N/A","344000"
"0 - Did not misuse in the past year","WI","0.017","0.0012","0.015","0.02","0.018","0.0012","0.016","0.02","0.979","0.004","0.97","0.986","4980000","N/A","334000"
"1 - Misused within the past year","WI","0","0.0001","0","0.001","0.013","0.0027","0.008","0.019","0.021","0.004","0.014","0.03","106000","N/A","22000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1516000","N/A","121000"
"0 - Did not misuse in the past year","WV","0.005","0.0004","0.004","0.006","0.005","0.0004","0.004","0.006","0.961","0.0076","0.943","0.974","1457000","N/A","120000"
"1 - Misused within the past year","WV","0","0","0","0","0.007","0.0014","0.005","0.01","0.039","0.0076","0.026","0.057","59000","N/A","11000"
"Overall","WY","0.002","0.0002","0.001","0.002","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","496000","N/A","43000"
"0 - Did not misuse in the past year","WY","0.002","0.0001","0.001","0.002","0.002","0.0002","0.001","0.002","0.969","0.0083","0.947","0.981","480000","N/A","42000"
"1 - Misused within the past year","WY","0","0","0","0","0.002","0.0005","0.001","0.003","0.031","0.0083","0.019","0.053","16000","N/A","4000"
